ID,TEXT,CREATED_AT,RETWEET_COUNT,FAVOURITE_COUNT,CATEGORY,SENTIMENT
1468365379592495112,"b'12 days into the vaccination campaign for 5-11 year olds, and the Minister of Education still has not tweeted support or visited a clinic.\n\nThe antivax vote must be polling strong in King-Vaughan.\n#onted'",Tue Dec 07 23:42:42 +0000 2021,107,751,p,n
1468362428559736836,b'#India #vaccination \n\nThe difference between how China's Communist Party treats the world and how Incredible India views Humanity https://t.co/qYfajhEbFq',Tue Dec 07 23:30:58 +0000 2021,18,36,p,n
1468369391825952776,"b'I get that people are mad about the #ChristmasParty - but did anyone really believe the government were listening to the COVID rules too? I thought we all collectively understood it was one rule for us, and another for them.'",Tue Dec 07 23:58:38 +0000 2021,7,46,p,n
1468361676969807872,"b'With Republican opposition to the Biden Administration's vaccination requirements for federal workers and contractors, large employers, and health care workers, we are seeing in real time the deep and longstanding partisan divide over the role of government in health care.'",Tue Dec 07 23:27:59 +0000 2021,6,10,p,n
1468369193426997249,b'So we now learn that 1. We were right Trump went to the debate with Covid 2. He was far sicker than he let on 3. He probably only survived because he got medicine no one else could get. If he had just been honest we could have saved so many lives and far more ppl would be vaxxed',Tue Dec 07 23:57:51 +0000 2021,4,43,p,n
1468369096966348803,b'Mark Meadows\xe2\x80\x99 idiocy has only been matched by his duplicity. https://t.co/HdRlrkGTJl',Tue Dec 07 23:57:28 +0000 2021,4,14,p,n
1468368998702227457,b'Federal judge blocks Biden's last remaining COVID vaccine mandate rule on federal contractors: Warns would have 'vast economic and political significance' $PFE $MRNA $JNJ $NVAX',Tue Dec 07 23:57:04 +0000 2021,3,21,p,n
1468002823786745856,b'India Declines Pfizer and Moderna No Liability Requests.\nhttps://t.co/6BCY7acMU4',Mon Dec 06 23:42:02 +0000 2021,3,3,p,n
1468369468749455371,"b'Look at all the lies, hoax\xe2\x80\x99s, and corruption that has been linked to Biden Administration, FBI, CIA,DOJ, Military,NIH,CDC and ppl trust that they would not cover up adverse effects from this vaccine? Take a look at Big Pharma\xe2\x80\x99s legal history alone. https://t.co/3JUpWSPh9c'",Tue Dec 07 23:58:56 +0000 2021,2,2,p,n
1468369497367232522,"b'As Angela Merkel\xe2\x80\x99s term ends, Germany struggles with lagging COVID vaccinations, an energy transition and an undigitized economy: https://t.co/XPw0TKhFz0 https://t.co/HVasr42oKg'",Tue Dec 07 23:59:03 +0000 2021,1,5,p,n
1468369272833458182,b'people who spent 2019 telling people to vote lib dem in labour seats and who spent the time johnson had covid not hoping he died piping up about the latest tory scandal is it \xf0\x9f\xa4\x94\xe2\x98\x95\xf0\x9f\x90\xb8',Tue Dec 07 23:58:10 +0000 2021,1,13,p,n
1468369271373844484,"b'One rule for them, one rule for us. Listen to the hyenas laughing. With almost 150,000 confirmed #Covid deaths in the #UK - it's time to get the #ToriesOut. It's time for #Indyref2. It's time for #Annibyniaeth. This Kingdom is no longer United. #ToriesPartiedWhilePeopleDied https://t.co/L88AyuJtY0'",Tue Dec 07 23:58:09 +0000 2021,1,0,p,n
1468369066599583750,b''Why it matters that the #Trump White House lied and lied about the his #COVID19 case'...\n https://t.co/EB2X84aoZ9',Tue Dec 07 23:57:21 +0000 2021,1,1,p,n
1468362287400448001,"b'How the Dems destroy America\n1.  Let in 30,000 unvetted Afghans\n2. Let the Border wide open for other bad guys to come\n3. Not investigate a stolen election\n4. Pass a B.S. Budget\n5. Demand vax for a flu not much more deadly than normal flu season\n6. Destroy economy with shutdowns'",Tue Dec 07 23:30:24 +0000 2021,1,2,p,n
1468359716577415169,b'Biden:\n\n-Free Vax \xe2\x9c\x85\n-Check n pocket\xe2\x9c\x85\n-ECON\xe2\x9c\x85\n-End 20 yr war\xe2\x9c\x85\n-Chld tx cred/cut pov 1/3\xe2\x9c\x85\n-Repair relation w/allies\xe2\x9c\x85\n-INFRASTRUCT\xe2\x9c\x85\n-Fed Min Wage 15\xe2\x9c\x85\n\n-BBB/CHLDCARE\n-For Peep/Freedom 2 Vote/Protect Democracy Act\n-N Stdnt Debt \n-\xe2\x99\x80\xef\xb8\x8fHLTH PROTECT ACT\n-PRO ACT-Unions.\n\nM4A\nHmes4A',Tue Dec 07 23:20:11 +0000 2021,1,0,p,n
