ID,TEXT,CREATED_AT,RETWEET_COUNT,FAVOURITE_COUNT,CATEGORY,SENTIMENT
1468368405879300098,b'BREAKING:\xc2\xa0Federal judge blocks Biden's last remaining COVID vaccine mandate rule on contractors: Warns would have 'vast economic and political significance'',Tue Dec 07 23:54:43 +0000 2021,2225,13355,r,n
1468362701407760385,"b'Thousands of active-duty service members have failed to comply with the Biden admin.'s Covid-19 vaccine mandate, raising the prospect that they will be forced to leave their positions or the military altogether. https://t.co/DxEVHcuias'",Tue Dec 07 23:32:03 +0000 2021,61,251,r,n
1468368537488134147,b'The military vax mandate is still in full effect.  \n\nPray that some court will stop it.',Tue Dec 07 23:55:14 +0000 2021,40,324,r,n
1468364062581006339,"b'MPP Belinda @BKarahalios, recovered from #Covid19, tested NEGATIVE, ousted from Ontario Legislature over vaccination status.\n\n#StopTheMadness \n\n#IstandWithBelinda https://t.co/BlECshZhhY'",Tue Dec 07 23:37:28 +0000 2021,38,78,r,n
1468368844582498306,b'VICTORY! \n\nThe @UofAlabama has canceled it\xe2\x80\x99s vaccine mandate for all employees! \xf0\x9f\x91\x8f\xf0\x9f\x94\xa5 https://t.co/CpWSkpyo9j',Tue Dec 07 23:56:28 +0000 2021,27,113,r,n
1468362398230843394,"b'If Biden vax mandate goes into effect, Whitmer admin has to decide how to implement it for state workers. It can either require vaccines or do a vax-or-test requirement. (Michigan is a 'state plan' OHSA state, so governments are subject to it, not just businesses/nonprofits)'",Tue Dec 07 23:30:51 +0000 2021,23,133,r,nu
1468367766935715845,"b'So if he courts keep striking down Joe Biden\'s vax mandates, how can public venues require vaccines? If you are open to the 'public', seems to me you can\'t discriminant.'",Tue Dec 07 23:52:11 +0000 2021,13,43,r,n
1468357596360806400,"b'I don't care your Party, religion, race, or gender, what I care about is what's happening to America. Many are losing jobs over COVID vax, yet thousands are crossing our borders and many are infected with COVID. How does it make sense that we are losing jobs and COVID spreads?'",Tue Dec 07 23:11:46 +0000 2021,11,59,r,n
1468368331312828417,b'The union for L.A. County sheriff\'s deputies says the Board of Supervisors 'lacks legal authority' to suspend or fire them for not complying with the county\'s vaccine mandate https://t.co/wqnQWacUAG',Tue Dec 07 23:54:25 +0000 2021,11,50,r,nu
1468363391676911616,b'First piece of hard news developing here in Hamilton ahead of the #GreyCup.\n\n#Bombers O-lineman Tui Eli has been placed on the suspended list \xe2\x80\x94 presumed to be the Winnipeg player not able to travel due to Covid-19 protocols/vaccination.\nMike O\xe2\x80\x99Shea will address Wednesday.',Tue Dec 07 23:34:48 +0000 2021,9,26,r,n
1468363658958753793,b'President Joe Biden's push to increase vaccinations rates has been dealt a blow after a judge temporarily blocked the mandate on federal contractors nationwide.\n\nhttps://t.co/6AjeMV7446',Tue Dec 07 23:35:51 +0000 2021,8,54,r,n
1468362288532897794,b'Union pushback prompted the City of Vancouver to delay its deadline for proof of vaccination.  https://t.co/dX3pEZFMfz',Tue Dec 07 23:30:25 +0000 2021,6,21,r,nu
1468369483454681191,b'A federal judge blocks the Biden administration from enforcing its COVID-19 vaccine mandate for employees of federal contractors. https://t.co/GwsvHnsI5m',Tue Dec 07 23:59:00 +0000 2021,5,17,r,n
1468361399764385793,b'\xf0\x9f\x94\xb4 Amazon Outages Impacts Users Worldwide; Fed Contractor Vax Mandate Blocked Nationwide | NTD https://t.co/h93WVCo24X',Tue Dec 07 23:26:53 +0000 2021,5,11,r,n
1468369483454681191,b'A federal judge blocks the Biden administration from enforcing its COVID-19 vaccine mandate for employees of federal contractors. https://t.co/GwsvHnsI5m',Tue Dec 07 23:59:00 +0000 2021,5,17,r,n
