ID,TEXT,CREATED_AT,RETWEET_COUNT,FAVOURITE_COUNT,CATEGORY,SENTIMENT
1468368801720795137,"b'Thanks to a court order from a federal judge, the FDA reluctantly releases internal data revealing Pfizer's vaccine killed more than 1,200 people in the first 90 days https://t.co/nmjXvzOCe1'",Tue Dec 07 23:56:17 +0000 2021,712,932,a,n
1468369625624756226,b'Just wanna point out the fact that Envy had a player with covid and knowing that no one can judge their performance here. Im pretty confident they are the best NA team',Tue Dec 07 23:59:34 +0000 2021,409,17647,a,p
1468363195207532544,b'Pop quiz: Do the mRNA therapeutics being marketed as 'vaccines' by Pfizer and Moderna include the traditional model of vaccination that entails killed or weakened viruses?\n\nPlease answer below.',Tue Dec 07 23:34:01 +0000 2021,186,1037,a,nu
1468369438088986624,"b'Omicron does not appear to cause more severe disease than previous COVID-19 variants, and is 'highly unlikely' to fully dodge vaccine protections, a top WHO official says. https://t.co/rcTD7dtHYa'",Tue Dec 07 23:58:49 +0000 2021,129,262,a,p
1468369438088986624,"b'Omicron does not appear to cause more severe disease than previous COVID-19 variants, and is 'highly unlikely' to fully dodge vaccine protections, a top WHO official says. https://t.co/rcTD7dtHYa'",Tue Dec 07 23:58:49 +0000 2021,129,262,a,nu
1468005915781734400,b'\xf0\x9f\x9a\xa8BREAKING REPORT: Males under 30 should no longer take Moderna injections due to myocarditis risk -  Canada's National Advisory Committee on Immunization',Mon Dec 06 23:54:19 +0000 2021,120,213,a,nu
1468358409707790339,b'Pennsylvania Teacher And Board Member For The Nation's Largest Teachers' Union Says Those With Religious Exemptions From Vax Should Die Or Be Shot https://t.co/qEWn84rUvV',Tue Dec 07 23:15:00 +0000 2021,119,402,a,n
1467974630711377923,"b'Sarah Gilbert, one of the creators of the Oxford-AstraZeneca vaccine said that countries must prepare themselves, as this pandemic will not be the last https://t.co/gApRGjeHuo https://t.co/OygJZ4gdSy'",Mon Dec 06 21:50:00 +0000 2021,89,158,a,n
1468368763972116480,"b'The study validates the importance of vaccination: 'The research also suggests that people who were previously infected and then vaccinated, or people who\xe2\x80\x99ve had boosters, should maintain greater levels of protection even against Omicron.' https://t.co/QADId7hd7V via @statnews'",Tue Dec 07 23:56:08 +0000 2021,36,102,a,nu
1468369274456707077,"b'Fully vaxed and boosted Chicago resident tests positive for Covid-Omicron, isn\xe2\x80\x99t hospitalized, &amp; the Mayor wants everyone to get fully vaxed and boosted. \n\nNow I get the new strategy: \xe2\x80\x9cWoulda been worse\xe2\x80\x9d \xf0\x9f\x99\x84 https://t.co/ezgFkNaZPb'",Tue Dec 07 23:58:10 +0000 2021,23,237,a,n
1468006525985861637,"b'Actual report says that myocarditis is very rare, typically resolves quickly, and so Pfizer is *preferred* (not that Moderna shouldn't be given) since it doesn't even have this issue. And the general guidance remains that all over 12 should get vaccinated. https://t.co/fVjnxzfbG2 https://t.co/zBZBkwllJD'",Mon Dec 06 23:56:44 +0000 2021,22,97,a,nu
1468004098373042177,b'\xf0\x9f\x9a\xa8BREAKING REPORT: Males under 30 should no longer take Moderna injections due to risk myocarditis -  Canada's National Advisory Committee on Immunization',Mon Dec 06 23:47:05 +0000 2021,20,39,a,nu
1467969385906253826,b'Pfizer accused of funding lies about AstraZeneca's jab https://t.co/0WSTRSfKFs via @MailOnline',Mon Dec 06 21:29:09 +0000 2021,17,28,a,n
1468361403753025541,"b'Today, we unveiled a new illuminated #TeamToronto pink bandage added to the Toronto Sign at Nathan Phillips Square.\n\nAs the symbol of the City\xe2\x80\x99s vaccination campaign, this illustrates our incredible progress to date and continued commitment to getting residents vaccinated. https://t.co/dbDjyuj8WN'",Tue Dec 07 23:26:54 +0000 2021,16,139,a,p
1468369391721009158,"b'With the winter surge upon us we're opening every door of opportunity, including additional vaccine sites, so NH residents can take proactive steps to stay healthy.\n\nThese 4 new locations offer walk-ins with no appointment needed! Learn more at https://t.co/WP432PHkcE. https://t.co/hMXIpuFbEB'",Tue Dec 07 23:58:38 +0000 2021,16,54,a,nu
