ID,TEXT,CREATED_AT,RETWEET_COUNT,FAVOURITE_COUNT,CATEGORY,SENTIMENT
1468730589490696202,"b'Easy to see why Omicron\'s reportedly mild virulence and rapid transmissibility would be received as 'not good news' by Pfizer CEO Albert Bourla, who is currently pushing a fourth booster https://t.co/eUO4HMG6wq'",Wed Dec 08 23:53:54 +0000 2021,192,628,c,n
1468367513704566785,b'Soon the hammer will drop for the vaxed and unvaxed alike. Those who enthusiastically cheered on our loss of freedoms are in for a rude awakening. Your vax status means nothing to them.',Tue Dec 07 23:51:10 +0000 2021,32,123,c,n
1468363733097451521,b'NEWS??? \xf0\x9f\x99\x84 - 'There\xe2\x80\x99s not going to be an endpoint to this vaccination program\xe2\x80\x9d  Where\xe2\x80\x99s the Therapeutics!!! Stop the lies!!\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',Tue Dec 07 23:36:09 +0000 2021,23,44,c,n
1468357090414665732,"b'If you believe governments worldwide aligned for the first time in history, applying identical lockdowns, masks, tests, social distancing, restrictions, vax &amp; vax passports in record time to save society, you\xe2\x80\x99re not only a fool you\xe2\x80\x99re collateral damage to the new world order.'",Tue Dec 07 23:09:45 +0000 2021,16,41,c,n
1468363738038345731,b'Nearly every paper tomorrow talking about the worrying news about vaccine escape and it\xe2\x80\x99s high transmissibility. Has no one yet joined up the dots that under 16\xe2\x80\x99s have mostly had one or no vaccination and zero mitigation or vaccination for under 12\xe2\x80\x99s. https://t.co/92lIdUcubS',Tue Dec 07 23:36:10 +0000 2021,11,29,c,n
1468367483698483203,b'And just like that we are one step closer to Chinese social credit system  - all this will be linked to the \xe2\x80\x9cvax passports\xe2\x80\x9d \n\nPlease wake up - for our kids \xf0\x9f\x98\xa2\xf0\x9f\x98\xa2 #WakeUp https://t.co/RBqME4yRMd',Tue Dec 07 23:51:03 +0000 2021,10,23,c,n
1468362184853897216,b'The Data Proves Your Vaccination Decision Impacts Only You\n'Whether you\'re #vaccinated or not is primarily a risk to yourself individually. I think it starts to shift some of the conversation.' - @ClayTravis #VaccineMandates #covid\nhttps://t.co/kRpWrH67Vs',Tue Dec 07 23:30:00 +0000 2021,9,18,c,nu
1468369270597996547,b'Asymptomatic spread in Nova Scotia has been proven by access to information data to be non existent #nspoli  \xe2\x81\xa6@SChad71593015\xe2\x81\xa9 @cdnpoli #covid we have been lied to  https://t.co/6sjiSBmnRd',Tue Dec 07 23:58:09 +0000 2021,8,7,c,n
1468730875470823430,"b'Nothing says \xe2\x80\x9cTrust the Science\xe2\x80\x9d like asking for another 20 years to produce data, The FDA is asking a judge for another 20 years on top of the 55 years previously requested to HIDE data concerning the Pfizer + BioNTech vaccine'",Wed Dec 08 23:55:03 +0000 2021,8,9,c,n
1468369201333166081,b'82 Percent of Democrats Willing to Wear Masks Indoors at All Times Due to Omicron Fears\nSilver lining of this...makes it easier to 'spot the Democrat covid cult member! https://t.co/fSaM4PBSKG',Tue Dec 07 23:57:53 +0000 2021,6,15,c,n
1468363036071190532,"b'To those of you who have submitted to the vAx, may your chains sit lightly upon you.\n\nUntil the inevitable end.'",Tue Dec 07 23:33:23 +0000 2021,6,37,c,n
1468362444275916803,b'Absolute travesty. For a fucking vaccination that doesn\xe2\x80\x99t even prevent you from getting Covid!!! https://t.co/TgCAuheUsl',Tue Dec 07 23:31:02 +0000 2021,5,23,c,n
1468730597610868737,b'Wow. I just listened to this. This is some very damning testimony given on the efficacy of the Pfizer vaccine https://t.co/iBRTuKH7bo',Wed Dec 08 23:53:56 +0000 2021,5,7,c,n
1468358089321684992,"b'Never mind Christmas parties at No10, this is the real story.  Vax Passports are still being pushed for England even as deaths fall and data shows vax's don't work.\n\nWhy has the Allegra video been released NOW?\nIt is a smokescreen. https://t.co/csUcBoBUHE'",Tue Dec 07 23:13:43 +0000 2021,4,13,c,n
1468357142667304962,"b'Gotta laugh how some contort into pretzels to explain why many vaxxed are coming down with Covid. We were told if you get both doses, you wouldn\xe2\x80\x99t get the virus. Hate to tell you, but if the vax works: \n\nTHERE SHOULDN\xe2\x80\x99T BE ANY  CASES\n\n#NoVaccinePassportAnywhere #mbpoli'",Tue Dec 07 23:09:58 +0000 2021,4,10,c,n
