ID,TEXT,CREATED_AT,RETWEET_COUNT,FAVOURITE_COUNT,CATEGORY,SENTIMENT
1467997985611010048,"b'Tacoma Twitter! If you need your booster shot, Lincoln Pharmacy has J&amp;J, Pfizer, and Moderna and works on walk in appointments.\nTook me ~10 to be in and done!'",Mon Dec 06 23:22:48 +0000 2021,31,92,e,nu
1468360908074323968,"b'How do we motivate people who don't care about the pandemic &amp; other human beings to Mask, Vax, Distance?\nMy answer: If you have a medical emergency right now I will try my damndest to help you. But you may end up on a gurney in a hallway waiting because it's a freakin' pandemic.'",Tue Dec 07 23:24:55 +0000 2021,12,128,e,n
1468363811728113667,b'IMAGINE getting the vax to travel just to be told you still have to quarantine when coming back to Canada. Are you clownpilled yet?',Tue Dec 07 23:36:28 +0000 2021,10,44,e,n
1468361196348723201,b'Been offered my first fake vax pass. \n\nDeclined for two reasons:\nI'm not a naughty boy\nAnd I refuse to play into their control system',Tue Dec 07 23:26:04 +0000 2021,9,137,e,nu
1468361099951157249,"b'Throughout the pandemic, Dr. de Villa has guided us every step of the way \xe2\x80\x93 from making tough calls to reduce COVID-19 transmission, to spearheading the most expansive vaccination program in our country\xe2\x80\x99s history. \n\nShe has truly been \xe2\x80\x98the people's doctor\xe2\x80\x99.'",Tue Dec 07 23:25:41 +0000 2021,7,109,e,p
1468730445860773888,"b'On the weekend, I will post the slides of what we know of the 7 approved WHO vaccines (Sinopharm, Sinovac, Covaxin, J&amp;J, Moderna, Pfizer, AztraZeneca) + Novavax and Sputnik V (both yet to be approved by WHO but should); here is talk for @IGHS @UCSF on them\nhttps://t.co/zkOlSEQMwJ'",Wed Dec 08 23:53:20 +0000 2021,6,89,e,nu
1468369692742098944,b'The explosion of Covid PTSD cases is a mental health crisis in the making | Rhiannon Lucy Cosslett https://t.co/xItzsBJhPj',Tue Dec 07 23:59:50 +0000 2021,2,3,e,n
1468369360120991745,b'Evangelical anti-vaxx 'rebel' reveals father ended up in ER after whole family contracts COVID-19 https://t.co/XCDt4F8Vhy',Tue Dec 07 23:58:31 +0000 2021,2,16,e,n
1468365209312006147,b'Help for the vax injured. https://t.co/X6nTmjhs55',Tue Dec 07 23:42:01 +0000 2021,2,3,e,n
1467973519313182721,"b'Am somewhat pleasantly surprised. Not only does the NHS QR checker accept my Georgian QR code, but the UK now accepts all the following vaccines:\n\nOxford/AstraZeneca\nPfizer BioNTech\nModerna\nJanssen (single dose vaccine)\nSinovac-CoronaVac\nSinopharm Beijing\nCovaxin\n\n#COVID19'",Mon Dec 06 21:45:35 +0000 2021,1,6,e,p
1468369715701682187,"b'One more time for those at the back - they are LAUGHING at everyone who\xe2\x80\x99s lost someone because of Covid, who didn\xe2\x80\x99t get to say goodbye to their loved ones because of restrictions THEY imposed. If that doesn\xe2\x80\x99t make you incensed I don\xe2\x80\x99t know what will #downingstreetparty https://t.co/pSuF8oqO2M'",Tue Dec 07 23:59:55 +0000 2021,1,1,e,n
1468369649809207296,"b'My beautiful, smart,   funny best friend from middle school just passed away today from COVID. He should have had decades of his life left.'",Tue Dec 07 23:59:40 +0000 2021,1,3,e,n
1468364338985684993,b'Spoke with my father today. His friend works in a morgue and he said he has NEVER seen so many dead bodies in his life (at work). ALL VAX and ALL dead due to heart attacks. He is telling all his friends to stop vacinating but afraid to speak up to lose his iob. #crazyday',Tue Dec 07 23:38:33 +0000 2021,1,11,e,n
1468362751336665090,"b'What\xe2\x80\x99s demoralizing is that we are now 2 weeks into Metro Denver Counties\xe2\x80\x99 Public Health Order and the number of hospitalizations are not down. \n\nIn talking with fellow restaurant operators, sales are drastically down no matter whether going with Masking or Vax proof option. https://t.co/KhsyUNQntv'",Tue Dec 07 23:32:15 +0000 2021,1,6,e,n
1468002870024974341,b'i got the moderna pfizer jungle juice cocktail flowing btw who wannsa taste',Mon Dec 06 23:42:13 +0000 2021,1,12,e,nu
