ID,TEXT,CREATED_AT,RETWEET_COUNT,FAVOURITE_COUNT,CATEGORY,SENTIMENT
1468369270988058624,b'I performed this test on a child with autism in front of the pharmacy today. His mother wanted him tested because 'he had a cold'. This child has COVID. This child could have infected his whole class had his mother not PAID for this test. https://t.co/ZRbv9SLdhF',Tue Dec 07 23:58:09 +0000 2021,844,3078,o,n
1468731844178980874,"b'Does the news from Pfizer that 3, much more than 2, doses of their vaccine protect against omicron suggest that the definition of fully vaccinated should change? Yes\xe2\x80\x94and this is yet another reason to urge all Americans to get see boosters as essential &amp; urgent. @AnaCabrera https://t.co/T3pI82HRoy'",Wed Dec 08 23:58:54 +0000 2021,81,431,o,p
1468361077901590530,"b'We announced today the first case of the Omicron Variant in Illinois was found in a vaccinated Chicagoan. \n\nWhile we're still learning more about Omicron, we know how to fight the spread. Get vax'd &amp; boosted, get tested, social distance, mask indoors, and wash your hands. https://t.co/bDEEHEKECA'",Tue Dec 07 23:25:36 +0000 2021,45,94,o,p
1468369412679880704,b'God [who created the people who developed the vaccine]: WTF? https://t.co/19XhwH9m18',Tue Dec 07 23:58:43 +0000 2021,25,327,o,nu
1468367540544024579,b''wHy hAsN\'T joE BiDEn eNdEd tHE pAnDeMIc?'\nhttps://t.co/nkdxx5MkcY',Tue Dec 07 23:51:17 +0000 2021,17,66,o,n
1468360214629924864,"b'Not much reassurance that as bad as lab evidence of Pfizer vax antibody coverage of Omicron may be, prolly Delta 'natural immunity' even worse- since that\'s likely what gave us Omicron.'",Tue Dec 07 23:22:10 +0000 2021,14,127,o,p
1468367767720153091,b'All we need is a rebranding campaign. Plant-based and alkaline vaccines would be a hit with the anti vax crowd https://t.co/IaLoYD9YCQ',Tue Dec 07 23:52:11 +0000 2021,12,14,o,p
1468000974950313985,"b'Watching Prof Sarah Gilbert giving the Richard Dimbleby Lecture on the development of the AstraZeneca vaccine. So impressive. A long, detailed lecture (without notes Boris). What a woman. What a brain. https://t.co/vYlPd5Ankm'",Mon Dec 06 23:34:41 +0000 2021,9,36,o,p
1468369510684151810,"b'Oh LQQK - 4 Days Ago ! Maryland Had A Hand\nFull Of Cases! What A Q-Winky-Dink!\n\nThat Is Florida, California And Maryland. WOW!\n\nhttps://t.co/AyPhNQFi1Q'",Tue Dec 07 23:59:06 +0000 2021,7,17,o,n
1468368281522348032,b'Kyrie waiting on the SweetGreen vax',Tue Dec 07 23:54:13 +0000 2021,7,14,o,nu
1468364853664370692,"b'Listen up #COVIDIOT (S) \nNo one is forcing vaccination on CDN kids \nYou have a choice ,protect your kids and the community at large or don't \nThat decision is on your shoulders alone and you are responsible for the consequences or restrictions which may apply if you choose not to'",Tue Dec 07 23:40:36 +0000 2021,7,12,o,p
1467997605447806981,"b'Excellent #DimblebyLecture on @BBCOne from Professor Dame Sarah Gilbert on the development of vaccines generally and specifically #astrazeneca, the need for experts, for the media to listen to them (and all of us) and the absolute necessity to fund science and scientists properly'",Mon Dec 06 23:21:17 +0000 2021,6,31,o,p
1468369644406784000,b'Here's what the anti vax gronks are protesting against/ blocking at the Salvos in the city today. It's almost like they have something against people in need \xf0\x9f\xa4\x94 https://t.co/LzcA9KIaPp',Tue Dec 07 23:59:38 +0000 2021,6,24,o,p
1468369601163669506,b'What the fuck is a plant based vaccine lmao https://t.co/9A72ZPSLVG',Tue Dec 07 23:59:28 +0000 2021,5,0,o,nu
1468368383598993409,"b'#Wai2575 Day 3\nVax rates have been focus of media, MOH &amp; urban. Needs to be urgent issue of exhausted, under resourced kaimahi, espec in remote areas, who've been vaxing, testing, awhi, etc.\n\nHome isolation policy = their workload \xe2\xac\x86\xef\xb8\x8f\xe2\xac\x86\xef\xb8\x8f\xe2\xac\x86\xef\xb8\x8f\nBorders open = it'll sky rocket\n\n#StayHome'",Tue Dec 07 23:54:38 +0000 2021,4,14,o,n
