ID,TEXT,CREATED_AT,RETWEET_COUNT,FAVOURITE_COUNT,CATEGORY,SENTIMENT
1468368405879300098,b'BREAKING:\xc2\xa0Federal judge blocks Biden's last remaining COVID vaccine mandate rule on contractors: Warns would have 'vast economic and political significance'',Tue Dec 07 23:54:43 +0000 2021,2225,13355,r,n
1468369270988058624,b'I performed this test on a child with autism in front of the pharmacy today. His mother wanted him tested because 'he had a cold'. This child has COVID. This child could have infected his whole class had his mother not PAID for this test. https://t.co/ZRbv9SLdhF',Tue Dec 07 23:58:09 +0000 2021,844,3078,o,n
1468368801720795137,"b'Thanks to a court order from a federal judge, the FDA reluctantly releases internal data revealing Pfizer's vaccine killed more than 1,200 people in the first 90 days https://t.co/nmjXvzOCe1'",Tue Dec 07 23:56:17 +0000 2021,712,932,a,n
1468369625624756226,b'Just wanna point out the fact that Envy had a player with covid and knowing that no one can judge their performance here. Im pretty confident they are the best NA team',Tue Dec 07 23:59:34 +0000 2021,409,17647,a,p
1468730589490696202,"b'Easy to see why Omicron\'s reportedly mild virulence and rapid transmissibility would be received as 'not good news' by Pfizer CEO Albert Bourla, who is currently pushing a fourth booster https://t.co/eUO4HMG6wq'",Wed Dec 08 23:53:54 +0000 2021,192,628,c,n
1468363195207532544,b'Pop quiz: Do the mRNA therapeutics being marketed as 'vaccines' by Pfizer and Moderna include the traditional model of vaccination that entails killed or weakened viruses?\n\nPlease answer below.',Tue Dec 07 23:34:01 +0000 2021,186,1037,a,nu
1468369438088986624,"b'Omicron does not appear to cause more severe disease than previous COVID-19 variants, and is 'highly unlikely' to fully dodge vaccine protections, a top WHO official says. https://t.co/rcTD7dtHYa'",Tue Dec 07 23:58:49 +0000 2021,129,262,a,p
1468369438088986624,"b'Omicron does not appear to cause more severe disease than previous COVID-19 variants, and is 'highly unlikely' to fully dodge vaccine protections, a top WHO official says. https://t.co/rcTD7dtHYa'",Tue Dec 07 23:58:49 +0000 2021,129,262,a,nu
1468005915781734400,b'\xf0\x9f\x9a\xa8BREAKING REPORT: Males under 30 should no longer take Moderna injections due to myocarditis risk -  Canada's National Advisory Committee on Immunization',Mon Dec 06 23:54:19 +0000 2021,120,213,a,nu
1468358409707790339,b'Pennsylvania Teacher And Board Member For The Nation's Largest Teachers' Union Says Those With Religious Exemptions From Vax Should Die Or Be Shot https://t.co/qEWn84rUvV',Tue Dec 07 23:15:00 +0000 2021,119,402,a,n
1468365379592495112,"b'12 days into the vaccination campaign for 5-11 year olds, and the Minister of Education still has not tweeted support or visited a clinic.\n\nThe antivax vote must be polling strong in King-Vaughan.\n#onted'",Tue Dec 07 23:42:42 +0000 2021,107,751,p,n
1467974630711377923,"b'Sarah Gilbert, one of the creators of the Oxford-AstraZeneca vaccine said that countries must prepare themselves, as this pandemic will not be the last https://t.co/gApRGjeHuo https://t.co/OygJZ4gdSy'",Mon Dec 06 21:50:00 +0000 2021,89,158,a,n
1468731844178980874,"b'Does the news from Pfizer that 3, much more than 2, doses of their vaccine protect against omicron suggest that the definition of fully vaccinated should change? Yes\xe2\x80\x94and this is yet another reason to urge all Americans to get see boosters as essential &amp; urgent. @AnaCabrera https://t.co/T3pI82HRoy'",Wed Dec 08 23:58:54 +0000 2021,81,431,o,p
1468362701407760385,"b'Thousands of active-duty service members have failed to comply with the Biden admin.'s Covid-19 vaccine mandate, raising the prospect that they will be forced to leave their positions or the military altogether. https://t.co/DxEVHcuias'",Tue Dec 07 23:32:03 +0000 2021,61,251,r,n
1468361077901590530,"b'We announced today the first case of the Omicron Variant in Illinois was found in a vaccinated Chicagoan. \n\nWhile we're still learning more about Omicron, we know how to fight the spread. Get vax'd &amp; boosted, get tested, social distance, mask indoors, and wash your hands. https://t.co/bDEEHEKECA'",Tue Dec 07 23:25:36 +0000 2021,45,94,o,p
1468368537488134147,b'The military vax mandate is still in full effect.  \n\nPray that some court will stop it.',Tue Dec 07 23:55:14 +0000 2021,40,324,r,n
1468364062581006339,"b'MPP Belinda @BKarahalios, recovered from #Covid19, tested NEGATIVE, ousted from Ontario Legislature over vaccination status.\n\n#StopTheMadness \n\n#IstandWithBelinda https://t.co/BlECshZhhY'",Tue Dec 07 23:37:28 +0000 2021,38,78,r,n
1468368763972116480,"b'The study validates the importance of vaccination: 'The research also suggests that people who were previously infected and then vaccinated, or people who\xe2\x80\x99ve had boosters, should maintain greater levels of protection even against Omicron.' https://t.co/QADId7hd7V via @statnews'",Tue Dec 07 23:56:08 +0000 2021,36,102,a,nu
1468367513704566785,b'Soon the hammer will drop for the vaxed and unvaxed alike. Those who enthusiastically cheered on our loss of freedoms are in for a rude awakening. Your vax status means nothing to them.',Tue Dec 07 23:51:10 +0000 2021,32,123,c,n
1467997985611010048,"b'Tacoma Twitter! If you need your booster shot, Lincoln Pharmacy has J&amp;J, Pfizer, and Moderna and works on walk in appointments.\nTook me ~10 to be in and done!'",Mon Dec 06 23:22:48 +0000 2021,31,92,e,nu
1468368844582498306,b'VICTORY! \n\nThe @UofAlabama has canceled it\xe2\x80\x99s vaccine mandate for all employees! \xf0\x9f\x91\x8f\xf0\x9f\x94\xa5 https://t.co/CpWSkpyo9j',Tue Dec 07 23:56:28 +0000 2021,27,113,r,n
1468369412679880704,b'God [who created the people who developed the vaccine]: WTF? https://t.co/19XhwH9m18',Tue Dec 07 23:58:43 +0000 2021,25,327,o,nu
1468369274456707077,"b'Fully vaxed and boosted Chicago resident tests positive for Covid-Omicron, isn\xe2\x80\x99t hospitalized, &amp; the Mayor wants everyone to get fully vaxed and boosted. \n\nNow I get the new strategy: \xe2\x80\x9cWoulda been worse\xe2\x80\x9d \xf0\x9f\x99\x84 https://t.co/ezgFkNaZPb'",Tue Dec 07 23:58:10 +0000 2021,23,237,a,n
1468362398230843394,"b'If Biden vax mandate goes into effect, Whitmer admin has to decide how to implement it for state workers. It can either require vaccines or do a vax-or-test requirement. (Michigan is a 'state plan' OHSA state, so governments are subject to it, not just businesses/nonprofits)'",Tue Dec 07 23:30:51 +0000 2021,23,133,r,nu
1468363733097451521,b'NEWS??? \xf0\x9f\x99\x84 - 'There\xe2\x80\x99s not going to be an endpoint to this vaccination program\xe2\x80\x9d  Where\xe2\x80\x99s the Therapeutics!!! Stop the lies!!\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',Tue Dec 07 23:36:09 +0000 2021,23,44,c,n
