"ID","TEXT","CREATED_AT","RETWEET_COUNT","FAVOURITE_COUNT","CATEGORY","SENTIMENT"
"1468006685373571076","b'Next pandemic may be more lethal, scientist behind AstraZeneca vaccine\xc2\xa0warns https://t.co/hPyyNVca3m'","Mon Dec 06 23:57:22 +0000 2021","0","0","a","n"
"1468006364811124737","b'Next pandemic may be more lethal, scientist behind AstraZeneca vaccine warns https://t.co/L9NBR9sB3Z https://t.co/0TW8B0jdIc'","Mon Dec 06 23:56:06 +0000 2021","0","0","a","n"
"1468006359366995968","b'Next pandemic may be more lethal, scientist behind AstraZeneca vaccine warns https://t.co/zv6hCaTPEk via @foxnews'","Mon Dec 06 23:56:04 +0000 2021","1","0","a","n"
"1468006359304081408","b'Next pandemic may be more lethal, scientist behind AstraZeneca vaccine warns https://t.co/ZxoLsqXMsS'","Mon Dec 06 23:56:04 +0000 2021","0","0","a","n"
"1468005760734949377","b'Moderna or Novavax after AstraZeneca jab confers high Covid immunity, study finds | Vaccines and\xc2\xa0immunisation https://t.co/HLZaqnm10h'","Mon Dec 06 23:53:42 +0000 2021","0","0","a","p"
"1468005234416898048","b'.@POTUS @BorisJohnson @JustinTrudeau @RegSprecher @Palazzo_Chigi @EmmanuelMacron @JPN_PMO @pfizer @moderna_tx @BioNTech_Group @AstraZeneca: We can\xe2\x80\x99t vaccinate the \xf0\x9f\x8c\x8d unless countries and companies come clean on vaccine data. We need transparency now! https://t.co/qHl7N11Atu'","Mon Dec 06 23:51:36 +0000 2021","0","0","c","n"
"1468005061943046145","b'One of the scientists behind the Oxford-AstraZeneca COVID-19 vaccine is warning that the next pandemic may be more contagious and more lethal unless more money is devoted to research and preparations to fight emerging viral threats https://t.co/N9XVANpvi8'","Mon Dec 06 23:50:55 +0000 2021","0","0","a","n"
"1468005000760762380","b'$NVAX Moderna or Novavax after AstraZeneca jab confers high Covid immunity, study finds | Vaccines and immunisation | The Guardian https://t.co/mbfr9QQflW'","Mon Dec 06 23:50:41 +0000 2021","1","1","a","p"
"1468004913972232200","b'AstraZeneca horror as thousands of vaccines WASTED after people refuse jab https://t.co/xGOfR97CWe'","Mon Dec 06 23:50:20 +0000 2021","0","1","a","n"
"1468004759441481730","b'Next virus could be \xe2\x80\x98more lethal\xe2\x80\x99 than Covid, warns AstraZeneca vaccine creator \n https://t.co/TwOTmAU71e'","Mon Dec 06 23:49:43 +0000 2021","0","1","a","n"
"1468004223044493316","b'Pfizer accused of \xe2\x80\x98sabotaging\xe2\x80\x99 AstraZeneca jab https://t.co/5dvC2t1P1r'","Mon Dec 06 23:47:35 +0000 2021","0","0","a","n"
"1468004081654321155","b'Moderna or Novavax after AstraZeneca jab confers high Covid immunity, study finds \n#vaccine #vaccineequity #globalvaccinestrategy\nhttps://t.co/YDd1N0EC2f'","Mon Dec 06 23:47:01 +0000 2021","0","0","a","p"
"1468004040630050833","b'Pfizer once again shows they are not to be trusted \n\nPfizer accused of funding lies about AstraZeneca's jab https://t.co/UCUH3iK9UZ'","Mon Dec 06 23:46:52 +0000 2021","0","0","a","n"
"1468004026247696395","b'https://t.co/2K4jVo8Qnx\n\nInteresting!\n\n@MerlinofCanada @LorneNystrom @RetiredCdnRJB @intouchwit'","Mon Dec 06 23:46:48 +0000 2021","4","4","nc","nu"
"1468003822127693825","b'Paris prosecutors seek involuntary manslaughter charges over AstraZeneca deaths\n\nhttps://t.co/ZrDEty10v2'","Mon Dec 06 23:46:00 +0000 2021","1","1","a","n"
"1468003785406566408","b'.@POTUS @BorisJohnson @JustinTrudeau @RegSprecher @Palazzo_Chigi @EmmanuelMacron @JPN_PMO @pfizer @moderna_tx @BioNTech_Group @AstraZeneca: We can\xe2\x80\x99t vaccinate the \xf0\x9f\x8c\x8d unless countries and companies come clean on vaccine data. We need transparency now! https://t.co/wEoPiCFHNW'","Mon Dec 06 23:45:51 +0000 2021","0","0","c","n"
"1468003770810441733","b'Next pandemic could be more lethal: AstraZeneca vaccine creator | Coronavirus pandemic News | Al Jazeera https://t.co/gJSRvuXEL1'","Mon Dec 06 23:45:47 +0000 2021","0","0","a","n"
"1468003497455108099","b'\xe2\x80\x9cThis will not be the last time a virus threatens our lives and our livelihoods'' https://t.co/tYmFcxH5L5'","Mon Dec 06 23:44:42 +0000 2021","5","3","a","n"
"1468003391767031811","b'Fantastic, fascinating &amp; informative #RichardDimblebyLecture @BBC from Prof Dame Sarah Gilbert. She talked about the Covid virus, how her team built on previous knowledge, worked internationally with other scientists &amp; fought for finance to create the AstraZeneca Oxford vaccine.'","Mon Dec 06 23:44:17 +0000 2021","0","3","a","p"
"1468002457850576897","b'GUARDIAN/OBSERVER: Moderna or Novavax after AstraZeneca jab confers high Covid immunity, study finds https://t.co/nDT6eDKrRv or https://t.co/ktp56BpxUR https://t.co/zkhcTDuMAG'","Mon Dec 06 23:40:34 +0000 2021","0","0","a","p"
"1468002324299743234","b'Moderna or Novavax after AstraZeneca jab confers high Covid immunity, study finds https://t.co/XeF6YKCSi1'","Mon Dec 06 23:40:02 +0000 2021","3","6","a","p"
"1468001624039866369","b'Com-COV2 study supports flexible second dose options following Pfizer or Oxford/AstraZeneca jabs https://t.co/dnBfgeOLOW'","Mon Dec 06 23:37:15 +0000 2021","0","0","a","p"
"1468001532708855814","b'thjis is why we can only have #pfizerbooster even when it might kill u? @sajidjavid I need #ASTRAZENECA  WHY CANT WE HAVE IT AS A BOSTER @maitlis @bbcouch  @Annareporting https://t.co/3tWkhGilIk'","Mon Dec 06 23:36:54 +0000 2021","0","0","c","n"
"1468001349023453192","b'\xe2\x81\xa6@BBCBreaking\xe2\x81\xa9 \xe2\x81\xa6@SkyNews\xe2\x81\xa9 \xe2\x81\xa6@JeremyVineOn5\xe2\x81\xa9 For those anti vaxers who doubt the safety of vaccines: here\xe2\x80\x99s what brilliance looks like. Hang your heads in shame! Oxford jab creator to deliver Richard Dimbleby Lecture | Evening Standard https://t.co/lq2qj78Owv'","Mon Dec 06 23:36:10 +0000 2021","0","1","a","p"
"1468001051450253318","b'Countries need vaccine mandates in place NOW.\nhttps://t.co/rvSpEdJSYY'","Mon Dec 06 23:34:59 +0000 2021","0","0","r","p"
"1468000974950313985","b'Watching Prof Sarah Gilbert giving the Richard Dimbleby Lecture on the development of the AstraZeneca vaccine. So impressive. A long, detailed lecture (without notes Boris). What a woman. What a brain. https://t.co/vYlPd5Ankm'","Mon Dec 06 23:34:41 +0000 2021","9","36","o","p"
