"ID","TEXT","CREATED_AT","RETWEET_COUNT","FAVOURITE_COUNT","CATEGORY","SENTIMENT"
"1468369724417482761","b'Trump added over $8 Trillion on our national debt. Most of that was before  covid. This is the same guy who said he would bring it down. This is why we have a inflation problem. Thanks to the Great Con Man.'","Tue Dec 07 23:59:57 +0000 2021","0","0","p","n"
"1468369724161642502","b'Vaccine inventor: 'Fundamentally evil' COVID policies harming children https://t.co/UaiAhAzVZE'","Tue Dec 07 23:59:57 +0000 2021","0","0","o","n"
"1468369723746312193","b'The UK Department for Education has admitted it held a social gathering of staff last December in contravention to Covid social distancing rules. One source told the paper:\nThere were lots of people gathered in the cafe area, mingling and drinking wine. It was just so reckless.'","Tue Dec 07 23:59:57 +0000 2021","0","0","a","n"
"1468369723742167042","b'New Zealand Dictator Jacinda Ardern: No 'End Point' to Covid Vaccines (Video)\n\n\xe2\x80\x9cSo those who were vaccinated six months ago we really need them to come back or we need to go to them.\xe2\x80\x9d\n\nhttps://t.co/wrPT1AmaDZ'","Tue Dec 07 23:59:57 +0000 2021","1","0","a","nu"
"1468369720713912325","b'Subsidize them and give them away for free. How hard is this? Rapid tests are the covid equivalent of the big bowl of condoms at the student health center: not a panacea but WAY BETTER THAN NOTHING https://t.co/ZSRe8WgnsK'","Tue Dec 07 23:59:57 +0000 2021","0","7","o","n"
"1468369720080420865","b'covid abt to start its junior year https://t.co/6825lhIMys'","Tue Dec 07 23:59:56 +0000 2021","0","4","o",n"
"1468369717828231172","b'i\xe2\x80\x99ll admit i got it wrong when i thought right wing covid denialism would turn on a dime and they\xe2\x80\x99d get angry at Biden for not doing enough to prevent so many deaths.'","Tue Dec 07 23:59:56 +0000 2021","0","6","o","n"
"1468369715701682187","b'One more time for those at the back - they are LAUGHING at everyone who\xe2\x80\x99s lost someone because of Covid, who didn\xe2\x80\x99t get to say goodbye to their loved ones because of restrictions THEY imposed. If that doesn\xe2\x80\x99t make you incensed I don\xe2\x80\x99t know what will #downingstreetparty https://t.co/pSuF8oqO2M'","Tue Dec 07 23:59:55 +0000 2021","1","1","e","n"
"1468369713835167747","b'Missouri\'s pathetic duncebucket 'AG' Eric Schmitt (R) is urging schools and public health depts. to stop enforcing any COVID measures, such as mask mandates and quarantines.  \n\nhttps://t.co/o3EwElCxH0'","Tue Dec 07 23:59:55 +0000 2021","0","0","a","n"
"1468369712778072064","b'I assume the reason for the baroque test coverage--on top of making sure insurers get a cut--is knowing people will take way fewer Covid tests, and only a sliver will actually bother filing the paperwork\n\nThey get to smugly claim they fixed it w/o doing much at all, the Dem dream https://t.co/IjjW1RwEdK'","Tue Dec 07 23:59:55 +0000 2021","0","0","p","n"
"1468369707283939335","b'Happy Birthday Mama Mary..\nAnd Happy Fiesta.. Pinamucan Proper..\n\nSana mawala na ang covid.. So we can celebrate it with the old way.. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'","Tue Dec 07 23:59:53 +0000 2021","0","0","e","n"
"1468369692742098944","b'The explosion of Covid PTSD cases is a mental health crisis in the making | Rhiannon Lucy Cosslett https://t.co/xItzsBJhPj'","Tue Dec 07 23:59:50 +0000 2021","2","3","e","n"
"1468369685993377793","b'The NHL really needs to allow cap flexibility with players in COVID protocol. This is ridiculous https://t.co/ogOqbrC0l7'","Tue Dec 07 23:59:48 +0000 2021","0","0","r","n"
