"ID","TEXT","CREATED_AT","RETWEET_COUNT","FAVOURITE_COUNT","CATEGORY","SENTIMENT"
"1468007189843521538","b'I'm picking up Popeyes cuz it's across the street from the cvs that had moderna lol'","Mon Dec 06 23:59:22 +0000 2021","0","2","e","p"
"1468007094590873601","b'#Moderna, #BioNTech plunge as #BernieSanders slams 'obscene' profits and tells drug makers to share COVID-19 vaccines with the #world\n\nhttps://t.co/Q1b6gJQb2w https://t.co/ivrtrGN6zX'","Mon Dec 06 23:59:00 +0000 2021","0","0","p","n"
"1468006981139333122","b'GM \xf0\x9f\x92\x99 I\xe2\x80\x99m going to have my 2nd shot of Moderna today. Hopefully I can survive the fever. Otherwise I\xe2\x80\x99ll have to take a day off from McDonald\xe2\x80\x99s \xf0\x9f\x98\x86 https://t.co/8ulj83ZNVn'","Mon Dec 06 23:58:33 +0000 2021","0","13","e","nu"
"1468006933240049672","b'Moderna President Stephen Hoge said there is a risk that existing COVID-19 shots may struggle in their effectiveness ...... https://t.co/TiA6N9Z8C8'","Mon Dec 06 23:58:21 +0000 2021","0","0","a","nu"
"1468006750259486723","b'1) When thinking about endless boosters of this 'mRNA vaccine', I keep thinking about an article I read a while back. It was troubling....\n\n#COVID19 #mRNA #healthcare \n\nhttps://t.co/e1m8Kglepz'","Mon Dec 06 23:57:38 +0000 2021","1","2","o","n"
"1468006558445436928","b''To prevent the world from seeing even more dangerous mutations of this virus, wealthy nations and vaccine manufacturers like Moderna must work to accelerate global vaccine distribution'. via Jenn Stephens and @or360media  https://t.co/Xqv29NJpIx'","Mon Dec 06 23:56:52 +0000 2021","1","1","p","n"
"1468006525985861637","b'Actual report says that myocarditis is very rare, typically resolves quickly, and so Pfizer is *preferred* (not that Moderna shouldn't be given) since it doesn't even have this issue. And the general guidance remains that all over 12 should get vaccinated. https://t.co/fVjnxzfbG2 https://t.co/zBZBkwllJD'","Mon Dec 06 23:56:44 +0000 2021","22","97","a","nu"
"1468006408519962625","b'Nvm they got moderna we goin 3/3 https://t.co/bMH8rgubgU'","Mon Dec 06 23:56:16 +0000 2021","0","4","e","nu"
"1468006387254972420","b'Mixing #Pfizer, AstraZ COVID-19 shots with Moderna gives better immune response - UK study - https://t.co/6QeQa5Alfp'","Mon Dec 06 23:56:11 +0000 2021","0","1","a","nu"
"1468006362068262919","b'India Declines Pfizer &amp; Moderna Request For Legal Protection Over Adverse Reactions To COVID Shots\n\n\xe2\x81\xa6@MOI_QatarEn\xe2\x81\xa9 \xe2\x81\xa6@MOPHQatar\xe2\x81\xa9 \n https://t.co/PYChukMro2'","Mon Dec 06 23:56:05 +0000 2021","0","2","a","nu"
"1468006345563643906","b'https://t.co/yq38wJVdhW again, all these jabs were sold to us as \xe2\x80\x9csafe and effective\xe2\x80\x9d.. till they aren\xe2\x80\x99t anymore. People just jumped in and bought into it. Give it to pregnant women, children, all safe\xe2\x80\xa6 ok. Fucking ridiculous'","Mon Dec 06 23:56:01 +0000 2021","0","1","c","n"
"1468006239296708612","b'Visit the link:\n\nhttps://t.co/IavUUFoNin\n\n#OTNews #Pandemic #Virus #Study #AstraZenecaVaccine #PfizerVaccine #ModernaVaccine #VaccineMixing #MatthewSnape'","Mon Dec 06 23:55:36 +0000 2021","0","0","nc","nu"
