"ID","TEXT","CREATED_AT","RETWEET_COUNT","FAVOURITE_COUNT","CATEGORY","SENTIMENT"
"1468369728120885251","b'The reason I spend so much time away, even though I LOVE interacting with my fellow nature lovers, is the ABSOLUTE GARBAGE that pops up in my feed so often. I don\xe2\x80\x99t want any crackpot theories or ANY information about C19 (&amp; vaccine) PERIOD. Can we just live?'","Tue Dec 07 23:59:58 +0000 2021","0","2","o","nu"
"1468369724161642502","b'Vaccine inventor: 'Fundamentally evil' COVID policies harming children https://t.co/UaiAhAzVZE'","Tue Dec 07 23:59:57 +0000 2021","0","0","r","n"
"1468369718427807745","b'Ground News: First study of omicron shows Pfizer vaccine may be less effective\xe2\x80\xa6 that\xe2\x80\x99s what happens when viruses mutate. Doh. https://t.co/iYnMHMTqYZ'","Tue Dec 07 23:59:56 +0000 2021","3","20","o","n"
"1468369699561951244","b'We have known for months this was going to be the case but thanks for informing your audience I guess? #OmicronVirus #Omicronindia #Omicorn #COVID19  https://t.co/11dJnkF39Y'","Tue Dec 07 23:59:52 +0000 2021","0","0","o","nu"
"1468369680553414661","b'AwesomeCapital: Judge halts Biden vaccine mandate for federal cont... https://t.co/tDNehrgnaW'","Tue Dec 07 23:59:47 +0000 2021","1","0","r","n"
"1468369674828193796","b'Federal judge blocks Biden\xe2\x80\x99s last remaining COVID vaccine mandate over\xc2\xa0contractors https://t.co/5VLdcULbBa'","Tue Dec 07 23:59:46 +0000 2021","0","0","r","n"
"1468369658717904899","b''there is no way to tell if a person is Covid positive or suffering a vaccine side-effect without a test' https://t.co/4n3KIWF1oh'","Tue Dec 07 23:59:42 +0000 2021","0","1","o","nu"
"1468369657052958722","b'At House Health &amp; Welfare Committee Monday Dec. 6, 2021\nHealth and Welfare Committee rejects LDH\xe2\x80\x99s vaccine proposal for most school children https://t.co/9EBg8RXsTZ'","Tue Dec 07 23:59:41 +0000 2021","0","0","a","nu"
"1468369651742740486","b'\xe2\x80\x9cOriginally, Dr. Sigal feared that vaccines might not provide any protection at all. .. \xe2\x80\x98Then all our efforts would be trash,\xe2\x80\x99 he said.\n\n\xe2\x80\x9cFortunately, that proved not to be the case.\xe2\x80\x9d\n\n(via \xe2\x81\xa6@nytimes\xe2\x81\xa9) #omicron  https://t.co/IUxn4Nye1t'","Tue Dec 07 23:59:40 +0000 2021","6","12","a","nu"
"1468369648701820928","b'Omicron significantly reduces Covid antibody protection in small study of Pfizer vaccine recipients https://t.co/61l5boGigb'","Tue Dec 07 23:59:39 +0000 2021","0","0","a","nu"
"1468369613360709637","b'Early Data Offers Glimpse at How the Vaccinated May Fare Against Omicron   https://t.co/7dhjE0Ck9L'","Tue Dec 07 23:59:31 +0000 2021","0","0","a","nu"
"1468369612567945219","b'Remember the two doctors who quit the FDA in a huff and wrote a scathing editorial because \xe2\x81\xa6@CDCDirector\xe2\x81\xa9 Walensky pushed to recommend boosters for all? Boy were they off the charts wrong. But sure, always grandstand! https://t.co/Q23CXfn7Aq'","Tue Dec 07 23:59:31 +0000 2021","0","5","o","nu"
"1468369611691282437","b'BREAKING NEWS:\xc2\xa0Federal judge blocks Biden's last COVID vaccine mandate https://t.co/NaOBCzzN85 via https://t.co/dBalxQjnOu'","Tue Dec 07 23:59:31 +0000 2021","0","1","na","nu"
"1468369610697109504","b'Axios It\xe2\x80\x99s like the judicial system and republicans just don\xe2\x80\x99t want to put an end to Covid. Another judge issues a stay for vaccine requirements for federal contractors. This crap will not end till the anti-vaxx either get sick and or die. https://t.co/u8M5R3PdMV'","Tue Dec 07 23:59:30 +0000 2021","0","0","o","p"
"1468369608444887043","b'The never ending to the Vaccine program. #VaccineDeaths https://t.co/S1RZduuEmc'","Tue Dec 07 23:59:30 +0000 2021","0","0","o","n"
"1468369601163669506","b'What the fuck is a plant based vaccine lmao https://t.co/9A72ZPSLVG'","Tue Dec 07 23:59:28 +0000 2021","5","0","o","nu"
"1468369598504333314","b'To people who claim vaccine mandates make NYC a 'Police State':\nunjustified arrest:  US many, Australia few\nDeath d/t lack of health care :    US millions.  Australia None.\nBeing in poverty despite working full time:  US-50% of full time workers.  Austalia very few. continued'","Tue Dec 07 23:59:27 +0000 2021","0","3","o","p"
"1468369597170692097","b'Hey, remember when the FDA's top vaccine regulator said even a moderately effective Covid shot could produce herd immunity if 70 percent of people received it? https://t.co/D5NILbh0lm'","Tue Dec 07 23:59:27 +0000 2021","1","1","o","n"
"1468369562756423682","b'If the global north countries did a simple cost-benefit analysis, investment like this would be a no-brainer.\n #health #healthcare #covid19vaccination https://t.co/oIHG653Mly'","Tue Dec 07 23:59:19 +0000 2021","0","0","o","nu"
"1468369560717901827","b'Omicron variant may be a 'live Covid vaccine', claims Vladimir Putin https://t.co/WwB47Cz7X0'","Tue Dec 07 23:59:18 +0000 2021","0","0","a","nu"
"1468369551964479488","b'in a way, it is a vaccine'","Tue Dec 07 23:59:16 +0000 2021","0","0","nc","nu"
"1468369541524856832","b'Francis Collins on medical advances, vaccine hesitancy and Americans' ill health : Shots - Health News \n\nhttps://t.co/1jaK5m0Xmq'","Tue Dec 07 23:59:14 +0000 2021","0","0","a","nu"
"1468369540010680320","b'bout to give my man a plant based vaccine @t_himothy  ctfu https://t.co/e7GwqCftHI'","Tue Dec 07 23:59:13 +0000 2021","0","0","o","nu"
"1468369538630631429","b'Judge Blocks Biden Administration Vaccine Mandate for Federal Contractors -now for the common working person!  https://t.co/sN8z1xptvP'","Tue Dec 07 23:59:13 +0000 2021","0","0","o","n"
"1468369523988389895","b'Pfizer-BioNTech vaccine provides FORTY times less antibodies to fight Omicron than other variants https://t.co/sOOmsM9AEr'","Tue Dec 07 23:59:10 +0000 2021","0","0","a","n"
"1468369509723561986","b'\xe2\x80\x9cBut vaccines stimulate a wide-ranging immune response that involves more than just antibodies. So these experiments offer an incomplete picture of how well the vaccine protects against hospitalization or death from Omicron.\xe2\x80\x9d https://t.co/UX1VOAMiJr'","Tue Dec 07 23:59:06 +0000 2021","0","0","o","p"
"1468369491860103169","b'Some good news!\nGet the boosters in kids.\nStill very virulent but the Pfizer vaccine works against it. https://t.co/x0TzOGbMfA'","Tue Dec 07 23:59:02 +0000 2021","0","1","o","p"
"1468369489867821062","b'#BREAKING: Illinois\xe2\x80\x99 first Omicron case of COVID-19 confirmed in a Chicago resident.\n\nhttps://t.co/eoWElsVJqi'","Tue Dec 07 23:59:02 +0000 2021","4","10","a","nu"
"1468369489016328195","b'I don\xe2\x80\x99t understand why they weren\xe2\x80\x99t smart enough to make the vaccine actually prevent you from getting the virus'","Tue Dec 07 23:59:01 +0000 2021","0","0","o","n"
"1468369483454681191","b'A federal judge blocks the Biden administration from enforcing its COVID-19 vaccine mandate for employees of federal contractors. https://t.co/GwsvHnsI5m'","Tue Dec 07 23:59:00 +0000 2021","5","17","r","n"
"1468369478224257027","b'Theres State characters who legislate violations of liberties, \nAnd there are State characters who legislate protection of liberties\n\nFlorida Unveils Tools for Reporting Employers Who Violate Restrictions on Vaccine Mandates\n\nhttps://t.co/alaU2inbVh'","Tue Dec 07 23:58:59 +0000 2021","0","0","r","nu"
"1468369474281738244","b'Hope this is true.\n\nhttps://t.co/kAFXkQ36o8'","Tue Dec 07 23:58:58 +0000 2021","0","0","nc","nu"
"1468369472931209221","b'In line to get my booster #vaccine #Booster #Pfizer'","Tue Dec 07 23:58:57 +0000 2021","0","1","e","p"
"1468369468749455371","b'Look at all the lies, hoax\xe2\x80\x99s, and corruption that has been linked to Biden Administration, FBI, CIA,DOJ, Military,NIH,CDC and ppl trust that they would not cover up adverse effects from this vaccine? Take a look at Big Pharma\xe2\x80\x99s legal history alone. https://t.co/3JUpWSPh9c'","Tue Dec 07 23:58:56 +0000 2021","2","2","p","n"
"1468369464143929348","b'omfg my old English teacher is resigning Bcs of the vaccine mandates https://t.co/ercNE0uafP'","Tue Dec 07 23:58:55 +0000 2021","0","0","r","n"
"1468369457370349580","b'BI: Omicron may challenge vaccine protection more than other variants, early lab data suggests, but the shots could still protect against severe disease https://t.co/d04dLpz7YN'","Tue Dec 07 23:58:54 +0000 2021","0","0","a","nu"
"1468369447157075968","b'Wife and I got our Pfizer #vaccine booster today, and both kiddos got their first dose! Shout out to all the folks who chose to pursue science and medicine to make this possible. https://t.co/bRqu6enIrY'","Tue Dec 07 23:58:51 +0000 2021","0","9","e","p"
"1468369441427701765","b'Stay safe when downloading and utilizing vaccine proof apps. Do not give more authorization than is needed and make sure your phone itself has proper security hygiene (such as unique password protected).\n\n#vaccinecard #covid #omicron #delta\nhttps://t.co/jux9gp5sKO'","Tue Dec 07 23:58:50 +0000 2021","0","0","o","nu"
"1468369440735739912","b'via \xe2\x81\xa6@nytimes\xe2\x81\xa9 I like this mayor  https://t.co/vToY5VmOH3'","Tue Dec 07 23:58:50 +0000 2021","0","0","nc","nu"
"1468369438088986624","b'Omicron does not appear to cause more severe disease than previous COVID-19 variants, and is 'highly unlikely' to fully dodge vaccine protections, a top WHO official says. https://t.co/rcTD7dtHYa'","Tue Dec 07 23:58:49 +0000 2021","129","262","a","nu"
"1468369430144905217","b'Biden blocked #JoeBiden #mandates https://t.co/RPpLMyqJLA'","Tue Dec 07 23:58:47 +0000 2021","0","0","r","n"
"1468369429763268615","b'Just mixed moderna with my og Pfizer shots. Gunning for the Neapolitan vaccine. Out here collecting them like Pok\xc3\xa9mon gym badges.'","Tue Dec 07 23:58:47 +0000 2021","0","8","e","p"
"1468369428475752452","b'ROMANIA \xe2\x80\x94 Lighting up health: LEDs placed inside COVID-19 vaccine containers shone next to a Christmas tree made of empty vaccine containers at a vaccination center in Bucharest, on Monday. \nhttps://t.co/wsbAjHXcla'","Tue Dec 07 23:58:47 +0000 2021","1","0","a","nu"
"1468369425506078721","b'Guys. This is our moment. It\xe2\x80\x99s a live vaccine. Someday you\xe2\x80\x99ll have a \xe2\x80\x9cNatural Immunity Appreciation Day\xe2\x80\x9d for us \xe2\x80\x9cheroes\xe2\x80\x9d. https://t.co/hUVNGwImA3'","Tue Dec 07 23:58:46 +0000 2021","0","0","c","n"
"1468369413258854403","b'\xe2\x80\x9elikely that lesser vaccine-induced protection against infection and disease would be the result...vaccinologists agree: current vaccines will still protect against severe disease and death in the face of #Omicron infection. It is critical that everyone should be vaccinated,\xe2\x80\x9d https://t.co/ReKHMu1Mq0'","Tue Dec 07 23:58:43 +0000 2021","0","0","a","nu"
"1468369412960882693","b'Vaccinate your kids. Please. Sadly, some kids will get very sick. And the best preventive is a vaccine. Best possible Xmas present \nCovid rate is highest in Europe among children aged 5-14, warns WHO\n https://t.co/bhFFpF8P6R'","Tue Dec 07 23:58:43 +0000 2021","3","7","o","p"
"1468369412679880704","b'God [who created the people who developed the vaccine]: WTF? https://t.co/19XhwH9m18'","Tue Dec 07 23:58:43 +0000 2021","25","327","o","nu"
"1468369393730002950","b'He is obsessed about the vaccine. Every time he shows up in my news feed he is worshiping the vaccine. Talk about something else. https://t.co/R01XFg8xlp'","Tue Dec 07 23:58:39 +0000 2021","0","0","o","nu"
"1468369393537413120","b'$NVAX The whole sector was down because Omicron reduced 41 folds of neutralizing antibodies in Pfizer vaccine. \xf0\x9f\x92\x97\n\n#RecvProfit'","Tue Dec 07 23:58:39 +0000 2021","0","0","o","nu"
"1468369391721009158","b'With the winter surge upon us we're opening every door of opportunity, including additional vaccine sites, so NH residents can take proactive steps to stay healthy.\n\nThese 4 new locations offer walk-ins with no appointment needed! Learn more at https://t.co/WP432PHkcE. https://t.co/hMXIpuFbEB'","Tue Dec 07 23:58:38 +0000 2021","16","54","a","nu"
"1468369382585864200","b'FYI \xf0\x9f\x94\xb9Dec. 14, children 5 to 11 will be required to have proof of vaccination for public indoor activities.\n\xf0\x9f\x94\xb9Dec. 27, people age 12 &amp; older are required to show proof of two vaccine doses, except if you received the Johnson &amp; Johnson vaccine. Learn more: https://t.co/HXJl1aYECI https://t.co/6AqJ1OAkEV'","Tue Dec 07 23:58:36 +0000 2021","2","3","a","nu"
"1468369376424476674","b'While neutralizing antibodies are an indicator of the body's immune response, scientists believe other kinds of immune cells (B cells and T cells) are stimulated by the Pfizer mRNA vaccine, and help protect against serious effects possible with #Omicron.  https://t.co/KQRU5wBrCU'","Tue Dec 07 23:58:34 +0000 2021","0","0","a","nu"
"1468369374784331781","b'Social Media News:  https://t.co/D9p2eb3fIk'","Tue Dec 07 23:58:34 +0000 2021","0","0","a","nu"
"1468369368891281408","b'Judge Suspends Federal Contractor Vaccine Mandate Nationwide: This follows a preliminary injunction for three states last week. https://t.co/D2cHznp58b -https://t.co/uQBkdM2ecV https://t.co/Dm33U00N61'","Tue Dec 07 23:58:33 +0000 2021","0","0","r","n"
"1468369352823123969","b'Health P.E.I. staff memo says deadline looms for vaccine-test policy holdouts | SaltWire https://t.co/XxUeCbedKY https://t.co/L3lsvwpEBM'","Tue Dec 07 23:58:29 +0000 2021","0","1","a","nu"
"1468369332350722048","b'At Least 3 Children Die and 120 Hospitalized in Vietnam After Receiving Pfizer COVID-19 Vaccine - 4 Adults Die from Vero Cell Covid Vaccine https://t.co/6UywKJg6VT via @gatewaypundit'","Tue Dec 07 23:58:24 +0000 2021","5","2","a","n"
"1468369312461250568","b'40x menos efectiva la \xf0\x9f\x92\x89con la nueva variante\n\nEntonces \xc2\xbfque sentido tiene el booster?\n\n#pasaportecovid\n\nPfizer vaccine horror: Jab 40 times less effective against Omicron than first Covid strain | Science | News | https://t.co/yolYoZLAP9 https://t.co/Wk4y2MJ3I2'","Tue Dec 07 23:58:19 +0000 2021","0","2","a","nu"
"1468369309990899718","b'Study suggests Pfizer COVID-19 vaccine only partially protects against\xc2\xa0Omicron https://t.co/5DkR3Q7XQu'","Tue Dec 07 23:58:19 +0000 2021","0","0","a","nu"
"1468369295604273155","b'New vaccine mandate in NYC &amp; why my business is NOT complying https://t.co/THTzjFomfQ via @YouTube'","Tue Dec 07 23:58:15 +0000 2021","0","0","r","n"
"1468369267137687555","b'\xe2\x98\x86\nWhereat Injection Inflammation mutates a Pre-Sympthomatic Individual's Conditions, I suggest to cease all unnecessary Vaccine Injections as well immediately apply Oral Prophylactic Inoculation to reduce Spread Disease Rates English guards.\n\n  Command Tactics\n  Guard Detection'","Tue Dec 07 23:58:08 +0000 2021","0","0","o","n"
"1468369237286682624","b'Biden\xe2\x80\x99s vaccine mandates hit legal roadblocks https://t.co/6fbWy3mHKb'","Tue Dec 07 23:58:01 +0000 2021","0","0","r","n"
"1468369235558776833","b'Pfizer\xe2\x80\x99s vaccine provides some protection against Omicron, a lab study suggests. https://t.co/J7n6Eg1OSq'","Tue Dec 07 23:58:01 +0000 2021","0","0","a","nu"
"1468369219653971969","b'They will lock down again in December, to protect their scan from ending..... omicron is highly transmissible and also very mild which will effectively end the pandemic, so they\xe2\x80\x99ll scare munger for as long as they can until vaccine passports are introduced ! MARK MY WORDS !'","Tue Dec 07 23:57:57 +0000 2021","1","5","c","n"
"1468369199529558019","b'Covid Live Updates: Early Study Shows Pfizer Vaccine Gives Some Protection Against Omicron\n\nA South African study found that Omicron may dull the power of coronavirus vaccines, but hinted that booster shots might help. https://t.co/JNrPGnc9n8'","Tue Dec 07 23:57:52 +0000 2021","8","7","a","nu"
"1468369188301553666","b'Demand For Covid Vaccine Increases As Omicron Variant Spreads Across\xc2\xa0U.S. https://t.co/iCoW9QjOHw'","Tue Dec 07 23:57:50 +0000 2021","0","0","a","nu"
"1468369179116195846","b'im having my 1st dose vaccine rn my fellow astrazenecanians can you assure me that nothing will go wrong with this'","Tue Dec 07 23:57:47 +0000 2021","0","0","e","nu"
"1468369167275470854","b'My parents have been so dumb about the vaccine - when it was hard to get one at first they didn\'t get it 'because they had Covid and they didn\'t want to take the vaccine from someone else' but now it\'s 'not our thing' \xf0\x9f\x99\x84 and I\'m like really excited for Christmas now!!'","Tue Dec 07 23:57:45 +0000 2021","0","2","o","p"
"1468369159654363137","b'\xe2\x80\x9cScientists said the results were somewhat worrisome, but no cause for panic.\xe2\x80\x9d https://t.co/sPlFcBAZSh'","Tue Dec 07 23:57:43 +0000 2021","0","0","a","nu"
"1468369155099348992","b'Very good news.\nAlso, when we have people refusing to vaccinate, Republican governors blocking vaccine mandate, and general fools not wearing masks Biden is limited in what he can do about COVID.  \nRepublicans are killing their base to get Biden.  We have done all we can. Oh well https://t.co/wkIYqmLsQm'","Tue Dec 07 23:57:42 +0000 2021","0","0","p","p"
"1468369139957968897","b'Pfizer\xe2\x80\x99s vaccine provides some protection against Omicron, a lab study\xc2\xa0suggests. https://t.co/olMYgDsnpL'","Tue Dec 07 23:57:38 +0000 2021","0","0","a","nu"
"1468369136396877826","b''A discipline issue': With vaccine deadlines passing, thousands in military remain unvaccinated https://t.co/56QnKilZgi via @nbcnews  time to get that court marshal on....stand down brother....'","Tue Dec 07 23:57:37 +0000 2021","0","0","e","p"
"1468369129128214532","b'Dr. Robert Malone: 500,000 American COVID patients didn't have to die\n\nInventor of mRNA vaccine technology decries blocking of treatments\n\nhttps://t.co/nWM7bAxQoP'","Tue Dec 07 23:57:36 +0000 2021","0","2",a","n"
"1468369109033394179","b'The Omron version partially bypasses the protection of the Pfizer\xc2\xa0vaccine, https://t.co/DWUX0vIJr8'","Tue Dec 07 23:57:31 +0000 2021","0","0","a","nu"
"1468369094927953923","b'It may be awhile before there are boosters for the younger ones https://t.co/Qx1KZ2auSc'","Tue Dec 07 23:57:27 +0000 2021","1","2","a","nu"
"1468369088594464773","b'I\xe2\x80\x99m really wondering at this point who actually believe this BS anymore? \n\nThe Vaccinated are the ones spreading the VACCINE RESISTANT Omicron Variant. \n\nhttps://t.co/f80IHWHhzl https://t.co/o2hRmE5mxa'","Tue Dec 07 23:57:26 +0000 2021","0","1","c","n"
"1468369066695876611","b'Second Senate Democrat to back vote against Biden vaccine mandate https://t.co/P2l6rspkwm'","Tue Dec 07 23:57:21 +0000 2021","0","0","r","n"
"1468369046445821953","b'Proud to be Team Pfizer: https://t.co/66i91anKfh'","Tue Dec 07 23:57:16 +0000 2021","0","0","e","p"
"1468369036878794758","b'https://t.co/ZVS9wgfWnN\n\nTo learn the surprising truth about the Pledge of Allegiance.\nhttps://t.co/WjSYzsHZuE'","Tue Dec 07 23:57:14 +0000 2021","0","0","nc",nu"
