"ID","TEXT","CREATED_AT","RETWEET_COUNT","FAVOURITE_COUNT","CATEGORY","SENTIMENT"
"1468369706855845893","b'Lady was in the grocery line &amp; overheard the conversation between a mother &amp; kid. The kid said he didnt want the shot. His mother said 'No vax, No Santa!'\nSeriously!! This is what we\'re teaching our children. Lord help us,especially the crazy moms out there\xf0\x9f\x98\x82 https://t.co/EQKzNNTu6Z'","Tue Dec 07 23:59:53 +0000 2021","0","0","o","n"
"1468369644406784000","b'Here's what the anti vax gronks are protesting against/ blocking at the Salvos in the city today. It's almost like they have something against people in need \xf0\x9f\xa4\x94 https://t.co/LzcA9KIaPp'","Tue Dec 07 23:59:38 +0000 2021","6","24","o","p"
"1468369517776715777","b'That means India has the Vax... https://t.co/0y9ZJh2w7o'","Tue Dec 07 23:59:08 +0000 2021","0","0","o","nu"
"1468369350918877185","b'Newsmax: Anti-Vax Reporter Emerald Robinson Is Out https://t.co/DnsK35t21x'","Tue Dec 07 23:58:28 +0000 2021","0","0","a","nu"
"1468369240612872192","b'2 friends currently have Covid. One is in hospital really poorly and expected to be in for at least 2 weeks. The other one is at home, lying on the sofa eating a box of chocolates! Guess which one hasn\xe2\x80\x99t had the vax!!!!!!!'","Tue Dec 07 23:58:02 +0000 2021","0","10","e","n"
"1468369143023894530","b'Did you know that you can see our shows for free if you volunteer as an usher? This weekend thru. 12/19, Tabard is looking for ushers to help at our A MERRY LITTLE CHRISTMAS CABARET shows! Click on our volunteer form in the link below: https://t.co/qJ4MC5kcO0. Vax req'd https://t.co/kgUS0pnMzJ'","Tue Dec 07 23:57:39 +0000 2021","0","0","r","nu"
"1468369049830797320","b'Vax cucks posting their Ls\n\nhttps://t.co/d5dvJbX8JL'","Tue Dec 07 23:57:17 +0000 2021","3","66","o","n"
"1468369019426283521","b'government chip vax arm randomly hurts https://t.co/SzQ5XrqAwY'","Tue Dec 07 23:57:09 +0000 2021","0","3","c","n"
"1468368958189355015","b'Vax Causes Variants, Hospitals Murder CV19 Patients \xe2\x80\x93 Dr. Elizabeth Eads | Greg Hunter\xe2\x80\x99s USAWatchdog https://t.co/mW90EsDgj3'","Tue Dec 07 23:56:55 +0000 2021","1","2","c","n"
"1468368947728822274","b'Just a thought ...\nIf the Vax is 'free' (meaning, our tax dollars are paying for it), then everyone bitching that I'm somehow not 'doing my part' for refusing an experimental drug can shut the fuck up ~ I'M PAYING FOR YOUR JAB!\nDickheads. https://t.co/qc0rogF27s'","Tue Dec 07 23:56:52 +0000 2021","2","3","c","n"
"1468368931714965515","b'Where's the vax and why no outcry from the alphabet people? https://t.co/j3c2CEEcmF'","Tue Dec 07 23:56:48 +0000 2021","0","0","o","n"
"1468368782393544708","b'Europe Exposed As Being Bankrupt &amp;amp; Can&amp;apos;t Pay Pensions, So They&amp;apos;re Killing People With The Vax https://t.co/aBiOuJ7yW9'","Tue Dec 07 23:56:13 +0000 2021","0","0","c","n"
